id,date,t,weekday,y,weekday_num,week_num
1,26-02-13,16,Tue,,2,9
1,27-02-13,17,Wed,0.6,3,9
1,28-02-13,18,Thu,1.75,4,9
1,01-03-13,19,Fri,1.8,5,9
1,02-03-13,20,Sat,,6,9
1,03-03-13,21,Sun,1.4,7,9
1,04-03-13,22,Mon,,1,9
1,05-03-13,23,Tue,1.6,2,10
1,06-03-13,24,Wed,1.4,3,10
1,07-03-13,25,Thu,1.8,4,10
1,08-03-13,26,Fri,1.6,5,10
1,09-03-13,27,Sat,1.2,6,10
1,10-03-13,28,Sun,1.8,7,10
1,11-03-13,29,Mon,1.4,1,10
1,12-03-13,30,Tue,1,2,11
1,13-03-13,31,Wed,1.6,3,11
1,14-03-13,32,Thu,1.4,4,11
1,15-03-13,33,Fri,1.8,5,11
1,16-03-13,34,Sat,2,6,11
1,17-03-13,35,Sun,0.8,7,11
1,18-03-13,36,Mon,0.8,1,11
1,19-03-13,37,Tue,0.8,2,12
1,20-03-13,38,Wed,1.4,3,12
1,21-03-13,39,Thu,1,4,12
1,22-03-13,40,Fri,,5,12
1,23-03-13,41,Sat,0.4,6,12
1,24-03-13,42,Sun,1,7,12
1,25-03-13,43,Mon,0.4,1,12
1,26-03-13,44,Tue,1.4,2,13
1,27-03-13,45,Wed,,3,13
1,28-03-13,46,Thu,1.8,4,13
1,29-03-13,47,Fri,2,5,13
1,30-03-13,48,Sat,0.6,6,13
1,31-03-13,49,Sun,2,7,13
1,01-04-13,50,Mon,1,1,13
1,02-04-13,51,Tue,1.8,2,14
1,03-04-13,52,Wed,2.6,3,14
1,04-04-13,53,Thu,1.8,4,14
1,05-04-13,54,Fri,2,5,14
1,06-04-13,55,Sat,1.8,6,14
1,07-04-13,56,Sun,1,7,14
1,08-04-13,57,Mon,1.4,1,14
1,09-04-13,58,Tue,,2,15
1,10-04-13,59,Wed,0.8,3,15
1,11-04-13,60,Thu,2,4,15
1,12-04-13,61,Fri,2.8,5,15
1,13-04-13,62,Sat,1.8,6,15
1,14-04-13,63,Sun,,7,15
1,15-04-13,64,Mon,,1,15
1,16-04-13,65,Tue,2,2,16
1,17-04-13,66,Wed,1.4,3,16
1,18-04-13,67,Thu,1.8,4,16
1,19-04-13,68,Fri,2,5,16
1,20-04-13,69,Sat,1.8,6,16
1,21-04-13,70,Sun,1.8,7,16
1,22-04-13,71,Mon,1.4,1,16
1,23-04-13,72,Tue,1.8,2,17
1,24-04-13,73,Wed,1,3,17
1,25-04-13,74,Thu,1.6,4,17
1,26-04-13,75,Fri,1.4,5,17
1,27-04-13,76,Sat,1.6,6,17
1,28-04-13,77,Sun,2,7,17
1,29-04-13,78,Mon,0.6,1,17
1,30-04-13,79,Tue,1.8,2,18
1,01-05-13,80,Wed,2,3,18
1,02-05-13,81,Thu,2,4,18
1,03-05-13,82,Fri,1.8,5,18
1,04-05-13,83,Sat,1.6,6,18
1,05-05-13,84,Sun,1.6,7,18
1,06-05-13,85,Mon,,1,18
1,07-05-13,86,Tue,2,2,19
1,08-05-13,87,Wed,,3,19
1,09-05-13,88,Thu,2,4,19
1,10-05-13,89,Fri,2.6,5,19
1,11-05-13,90,Sat,1.8,6,19
1,12-05-13,91,Sun,2,7,19
1,13-05-13,92,Mon,1.6,1,19
1,14-05-13,93,Tue,1.4,2,20
1,15-05-13,94,Wed,1.6,3,20
1,16-05-13,95,Thu,1.6,4,20
1,17-05-13,96,Fri,,5,20
1,18-05-13,97,Sat,,6,20
1,19-05-13,98,Sun,,7,20
1,20-05-13,99,Mon,2.4,1,20
1,21-05-13,100,Tue,2,2,21
1,22-05-13,101,Wed,2,3,21
1,23-05-13,102,Thu,2,4,21
1,24-05-13,103,Fri,2,5,21
1,25-05-13,104,Sat,2,6,21
1,26-05-13,105,Sun,2,7,21
1,27-05-13,106,Mon,1.8,1,21
1,28-05-13,107,Tue,1.8,2,22
1,29-05-13,108,Wed,2.8,3,22
1,30-05-13,109,Thu,,4,22
